id,vendor,purchase_date,items,subtotal,tax,total,note,category,status,r2_key,photo,created_at,updated_at
exp_2,"Lowe's Home Centers, LLC",2026-05-12,"[{""name"":""ITEMS"",""price"":93.87}]",88.91,4.96,93.87,,Equipment,ok,receipts/2026/07/2026-07-20T00-19-53-654Z-68564767.jpg,expenses/thumbs/2026-07-20T00-19-53-654Z-68564767.jpg,2026-05-12T00:19:53Z,2026-05-12T00:19:53Z
exp_3,Jack Oliver Pools,2026-07-19,"[{""name"":""ITEMS"",""price"":43.64}]",41.56,2.08,43.64,,Chemicals,ok,receipts/2026/07/2026-07-20T01-47-43-767Z-7c8f54cd.jpg,expenses/thumbs/2026-07-20T01-47-43-767Z-7c8f54cd.jpg,2026-07-19T01:47:43Z,2026-07-19T01:47:43Z
exp_4,COLUMBIA'S HOME IMPROVEMENT HEADQUARTERS,2026-07-19,"[{""name"":""ITEMS"",""price"":32.88}]",31.31,1.57,32.88,,Supplies,ok,receipts/2026/07/2026-07-20T01-48-15-014Z-28e9d594.jpg,expenses/thumbs/2026-07-20T01-48-15-014Z-28e9d594.jpg,2026-07-19T01:48:15Z,2026-07-19T01:48:15Z
exp_5,Jack Oliver Pools,2026-07-19,"[{""name"":""ITEMS"",""price"":43.42}]",41.35,2.07,43.42,,Chemicals,ok,receipts/2026/07/2026-07-20T01-48-38-703Z-058ee4ce.jpg,expenses/thumbs/2026-07-20T01-48-38-703Z-058ee4ce.jpg,2026-07-19T01:48:38Z,2026-07-19T01:48:38Z
exp_6,LOWE'S,2026-04-18,"[{""name"": ""SKIL 15-AMP 7-1/4-IN CIRC"", ""price"": 69.98}]",69.98,5.62,75.60,,Equipment,ok,receipts/2026/07/2026-07-20T06-09-38-779Z-2a5f979d.jpg,expenses/thumbs/2026-07-20T06-09-38-779Z-2a5f979d.jpg,2026-07-20T06:09:38.779Z,2026-07-20T06:13:24.783259+00:00
exp_7,Home Depot,2026-05-08,"[{""name"": ""36IN PW WAND"", ""price"": 43.97}, {""name"": ""36-IN UNIV WAND"", ""price"": 4500.0}, {""name"": ""1GALCLEANER"", ""price"": 25.96}, {""name"": ""DAWN PLAT FRESH RAIN LIQUID"", ""price"": 12.96}]",82.89,6.63,89.52,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-46-610Z-f1777a57.jpg,expenses/thumbs/2026-07-20T06-09-46-610Z-f1777a57.jpg,2026-07-20T06:09:46.610Z,2026-07-20T06:13:40.372887+00:00
exp_8,LOWE'S,2026-05-12,"[{""name"": ""5-GAL LOWES BUCKET-UNITED"", ""price"": 4.58}, {""name"": ""16-FT ETTORE EXTENSION PO"", ""price"": 9.98}, {""name"": ""JH 12-IN ETTORE WINDOW MA"", ""price"": 15.98}, {""name"": ""KOBALT 12FT 1500LB RATCHE"", ""price"": 8.76}, {""name"": ""24-IN STRAIGHT FLOOR SQUE"", ""price"": 18.48}]",93.87,,93.87,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-49-352Z-00b15bd2.jpg,expenses/thumbs/2026-07-20T06-09-49-352Z-00b15bd2.jpg,2026-07-20T06:09:49.352Z,2026-07-20T06:13:56.195572+00:00
exp_9,"LOWE'S HOME CENTERS, LLC",2026-05-12,"[{""name"": ""2260158 5-GAL BLUE LID-UNITED (+2)"", ""price"": 4.56}, {""name"": ""954434 5-GAL LOWES BUCKET-UNITED"", ""price"": 9.16}, {""name"": ""109411 16-FT ETTORE EXTENSION PO"", ""price"": 29.98}, {""name"": ""202656 JH 12-IN ETTORE WINDOW VA"", ""price"": 15.98}, {""name"": ""6600790 KOBALT 12FT 1500LB RATCHE"", ""price"": 8.76}, {""name"": ""753246 24-IN STRAIGHT FLOOR SQUE"", ""price"": 18.48}]",86.92,6.95,93.87,,Equipment,ok,receipts/2026/07/2026-07-20T06-09-52-574Z-08f7b1e1.jpg,expenses/thumbs/2026-07-20T06-09-52-574Z-08f7b1e1.jpg,2026-07-20T06:09:52.574Z,2026-07-20T06:14:12.221832+00:00
exp_10,Jack Oliver Pools,2026-05-13,[],33.40,,33.40,,Other,ok,receipts/2026/07/2026-07-20T06-09-54-268Z-57338709.jpg,expenses/thumbs/2026-07-20T06-09-54-268Z-57338709.jpg,2026-07-20T06:09:54.268Z,2026-07-20T06:14:26.378844+00:00
exp_11,LOWE'S,2026-05-15,"[{""name"": ""6305865 SHX PRO SPRAY HANDLE 1/4\"""", ""price"": 44.98}]",44.98,3.60,48.58,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-55-932Z-1b84f0d2.jpg,expenses/thumbs/2026-07-20T06-09-55-932Z-1b84f0d2.jpg,2026-07-20T06:09:55.932Z,2026-07-20T06:14:40.965514+00:00
exp_12,LOWE'S,2026-05-15,"[{""name"": ""6305865 SMX PRO SPRAY HANDLE 1/4\"""", ""price"": 44.98}]",44.98,3.60,48.58,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-57-843Z-3e58a43c.jpg,expenses/thumbs/2026-07-20T06-09-57-843Z-3e58a43c.jpg,2026-07-20T06:09:57.843Z,2026-07-20T06:14:55.778458+00:00
exp_13,The Home Depot,2026-05-27,"[{""name"": ""RYOBI 2PC MED. BRISTLE CLEANING KIT"", ""price"": 12.97}, {""name"": ""MIRA BRIGH OUTDOOR CLEANER 1 GAL"", ""price"": 38.94}, {""name"": ""DAWN PLAT PLUS SPRAY FRESH 16OZ"", ""price"": 5.97}]",57.88,4.63,62.51,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-59-391Z-fc1dfbaf.jpg,expenses/thumbs/2026-07-20T06-09-59-391Z-fc1dfbaf.jpg,2026-07-20T06:09:59.391Z,2026-07-20T06:15:11.132028+00:00
exp_14,Walmart,2026-05-28,"[{""name"": ""PARM 095 100"", ""price"": 38.98}, {""name"": ""EG 2PK BBQ"", ""price"": 10.96}, {""name"": ""1GL GAS CAN"", ""price"": 1.84}]",38.98,3.12,42.10,,Other,ok,receipts/2026/07/2026-07-20T06-10-00-912Z-59d64cf1.jpg,expenses/thumbs/2026-07-20T06-10-00-912Z-59d64cf1.jpg,2026-07-20T06:10:00.912Z,2026-07-20T06:15:26.090534+00:00
exp_15,Jack Oliver Pools,2026-05-28,[],43.42,,43.42,,Other,ok,receipts/2026/07/2026-07-20T06-10-02-239Z-f9447026.jpg,expenses/thumbs/2026-07-20T06-10-02-239Z-f9447026.jpg,2026-07-20T06:10:02.239Z,2026-07-20T06:15:40.631172+00:00
exp_16,COLUMBIA'S HOME IMPROVEMENT HEADQUARTERS,2026-05-30,"[{""name"": ""BEHR ALL-IN-ONE WOOD CLEANER GAL"", ""price"": 10.98}, {""name"": ""POOL TIME CHLORINE - 128 OZ - SINGLE"", ""price"": 8.48}]",30.44,2.44,32.88,,Supplies,ok,receipts/2026/07/2026-07-20T06-10-03-800Z-d3f2a338.jpg,expenses/thumbs/2026-07-20T06-10-03-800Z-d3f2a338.jpg,2026-07-20T06:10:03.800Z,2026-07-20T06:15:55.564364+00:00
exp_17,Jack Oliver Pools,2026-06-01,[],43.64,,43.64,,Other,ok,receipts/2026/07/2026-07-20T06-10-05-037Z-9ae42f17.jpg,expenses/thumbs/2026-07-20T06-10-05-037Z-9ae42f17.jpg,2026-07-20T06:10:05.037Z,2026-07-20T06:16:09.223847+00:00
exp_18,Essilorluxottica Italia S.p.A.,2026-02-07,"[{""name"": ""RM4012 WAYFARER, BLK MT, GRY C"", ""price"": 499.0}]",499.00,89.98,588.98,This was purchased on July 2nd 2026,Other,ok,receipts/2026/07/2026-07-21T23-49-28-829Z-8b7c8523.jpg,expenses/thumbs/2026-07-21T23-49-28-829Z-8b7c8523.jpg,2026-07-21T23:49:28.829Z,2026-07-22T00:33:28.449134+00:00
exp_19,"LOWE'S HOME CENTERS, LLC",,"[{""name"": ""2260158 5-GAL BLUE LID-UNITED (+2)"", ""price"": 4.56}, {""name"": ""954434 5-GAL LOWES BUCKET-UNITED"", ""price"": 9.16}, {""name"": ""109411 16-FT ETTORE EXTENSION PO"", ""price"": 29.98}, {""name"": ""202656 JH 12-IN ETTORE WINDOW VA"", ""price"": 15.98}, {""name"": ""6600790 KOBALT 12FT 1500LB RATCHE"", ""price"": 8.76}, {""name"": ""753246 24-IN STRAIGHT FLOOR SQUE"", ""price"": 18.48}]",86.92,6.95,93.87,,Equipment,needs_review,receipts/2026/07/2026-07-20T00-19-53-654Z-68564767.jpg,expenses/thumbs/2026-07-20T00-19-53-654Z-68564767.jpg,2026-07-20T00:19:53.654Z,2026-07-22T14:55:29.986918+00:00
exp_20,Jack Oliver Pools,2026-06-01,[],43.64,,43.64, [Possible duplicate of exp_17],Other,needs_review,receipts/2026/07/2026-07-20T01-47-43-767Z-7c8f54cd.jpg,expenses/thumbs/2026-07-20T01-47-43-767Z-7c8f54cd.jpg,2026-07-20T01:47:43.767Z,2026-07-22T14:55:35.806923+00:00
exp_21,COLUMBIA'S HOME IMPROVEMENT HEADQUARTERS,2026-05-30,"[{""name"": ""BEHR ALL-IN-ONE WOOD CLEANER GAL"", ""price"": 10.98}, {""name"": ""POOL TIME CHLORINE - 128 OZ - SINGLE"", ""price"": 8.48}]",30.44,2.44,32.88, [Possible duplicate of exp_16],Supplies,needs_review,receipts/2026/07/2026-07-20T01-48-15-014Z-28e9d594.jpg,expenses/thumbs/2026-07-20T01-48-15-014Z-28e9d594.jpg,2026-07-20T01:48:15.014Z,2026-07-22T14:55:42.832668+00:00
exp_22,Jack Oliver Pools,2026-05-28,[],43.42,,43.42, [Possible duplicate of exp_15],Other,needs_review,receipts/2026/07/2026-07-20T01-48-38-703Z-058ee4ce.jpg,expenses/thumbs/2026-07-20T01-48-38-703Z-058ee4ce.jpg,2026-07-20T01:48:38.703Z,2026-07-22T14:55:48.742698+00:00
exp_23,LOWE'S,2026-04-18,"[{""name"": ""SKIL 15-AMP 7-1/4-IN CIRC"", ""price"": 69.98}]",69.98,5.62,75.60, [Possible duplicate of exp_6],Equipment,needs_review,receipts/2026/07/2026-07-20T06-09-38-779Z-2a5f979d.jpg,expenses/thumbs/2026-07-20T06-09-38-779Z-2a5f979d.jpg,2026-07-20T06:09:38.779Z,2026-07-22T14:55:54.949083+00:00
exp_24,Home Depot,2026-05-08,"[{""name"": ""36IN PW WAND <A>"", ""price"": 43.97}, {""name"": ""36-IN UNIV WAND 4500PSI POWERCARE"", ""price"": 25.96}, {""name"": ""1GALCLEANER <A>"", ""price"": 12.98}, {""name"": ""MIRA BRIGH OUTDOOR CLEANER 1 GAL"", ""price"": 0.0}, {""name"": ""DAWN PLAT FRESH RAIN LIQUID 32.7OZ"", ""price"": 6.48}]",82.89,6.63,89.52, [Possible duplicate of exp_7],Supplies,needs_review,receipts/2026/07/2026-07-20T06-09-46-610Z-f1777a57.jpg,expenses/thumbs/2026-07-20T06-09-46-610Z-f1777a57.jpg,2026-07-20T06:09:46.610Z,2026-07-22T14:56:02.499358+00:00
exp_25,LOWE'S,2026-05-12,"[{""name"": ""5-GAL LOWES BUCKET-UNITED"", ""price"": 4.58}, {""name"": ""16-FT ETTORE EXTENSION PO"", ""price"": 9.98}, {""name"": ""JH 12-IN ETTORE WINDOW MA"", ""price"": 15.98}, {""name"": ""KOBALT 12FT 1500LB RATCHE"", ""price"": 8.76}, {""name"": ""24-IN STRAIGHT FLOOR SQUE"", ""price"": 18.48}]",93.87,,93.87, [Possible duplicate of exp_2],Supplies,needs_review,receipts/2026/07/2026-07-20T06-09-49-352Z-00b15bd2.jpg,expenses/thumbs/2026-07-20T06-09-49-352Z-00b15bd2.jpg,2026-07-20T06:09:49.352Z,2026-07-22T14:56:10.011981+00:00
exp_26,Jack Oliver Pools,2026-05-13,[],33.40,,33.40, [Possible duplicate of exp_10],Other,needs_review,receipts/2026/07/2026-07-20T06-09-54-268Z-57338709.jpg,expenses/thumbs/2026-07-20T06-09-54-268Z-57338709.jpg,2026-07-20T06:09:54.268Z,2026-07-22T14:56:24.122758+00:00
exp_27,LOWE'S,2026-05-15,"[{""name"": ""6305865 SHX PRO SPRAY HANDLE 1/4\"""", ""price"": 44.98}]",44.98,3.60,48.58, [Possible duplicate of exp_11],Supplies,needs_review,receipts/2026/07/2026-07-20T06-09-55-932Z-1b84f0d2.jpg,expenses/thumbs/2026-07-20T06-09-55-932Z-1b84f0d2.jpg,2026-07-20T06:09:55.932Z,2026-07-22T14:56:30.571879+00:00
exp_28,LOWE'S,2026-05-15,"[{""name"": ""6305865 SMX PRO SPRAY HANDLE 1/4\"""", ""price"": 44.98}]",44.98,3.60,48.58, [Possible duplicate of exp_11],Supplies,needs_review,receipts/2026/07/2026-07-20T06-09-57-843Z-3e58a43c.jpg,expenses/thumbs/2026-07-20T06-09-57-843Z-3e58a43c.jpg,2026-07-20T06:09:57.843Z,2026-07-22T14:56:37.020868+00:00
exp_29,The Home Depot,2026-05-27,"[{""name"": ""RYOBI 2PC MED. BRISTLE CLEANING KIT"", ""price"": 12.97}, {""name"": ""MIRA BRIGH OUTDOOR CLEANER 1 GAL"", ""price"": 38.94}, {""name"": ""DAWN PLAT PLUS SPRAY FRESH 16OZ"", ""price"": 5.97}]",57.88,4.63,62.51, [Possible duplicate of exp_13],Supplies,needs_review,receipts/2026/07/2026-07-20T06-09-59-391Z-fc1dfbaf.jpg,expenses/thumbs/2026-07-20T06-09-59-391Z-fc1dfbaf.jpg,2026-07-20T06:09:59.391Z,2026-07-22T14:56:44.079207+00:00
exp_30,Walmart,2026-05-28,"[{""name"": ""PARM 095 100"", ""price"": 10.96}, {""name"": ""EG 2PK BBQ"", ""price"": 1.84}, {""name"": ""1GL GAS CAN"", ""price"": 12.28}]",38.98,3.12,42.10, [Possible duplicate of exp_14],Other,needs_review,receipts/2026/07/2026-07-20T06-10-00-912Z-59d64cf1.jpg,expenses/thumbs/2026-07-20T06-10-00-912Z-59d64cf1.jpg,2026-07-20T06:10:00.912Z,2026-07-22T14:56:50.872953+00:00
exp_31,LOWE'S,2026-07-20,"[{""name"": ""SCRUB DADDY XL STEAM SCRUB"", ""price"": 19.98}, {""name"": ""24-FL OZ HD DEGREASER(-36)"", ""price"": 6.48}]",26.46,2.12,28.58,,Chemicals,ok,receipts/2026/07/2026-07-20T17-13-47-542Z-c3ffa4b9.jpg,expenses/thumbs/2026-07-20T17-13-47-542Z-c3ffa4b9.jpg,2026-07-20T17:13:47.542Z,2026-07-22T14:57:16.087598+00:00
exp_32,Essilorluxottica Italia S.p.A.,2026-02-07,"[{""name"": ""RM4012 WAYFARER, BLK MT, GRY C"", ""price"": 499.0}]",499.00,89.98,588.98,This was purchased on July 2nd 2026 [Possible duplicate of exp_18],Other,needs_review,receipts/2026/07/2026-07-21T23-49-28-829Z-8b7c8523.jpg,expenses/thumbs/2026-07-21T23-49-28-829Z-8b7c8523.jpg,2026-07-21T23:49:28.829Z,2026-07-22T14:57:22.714117+00:00
exp_33,Evans Ace Hardware,,"[{""name"": ""LOOSE FASTENER ITEMS NUTS-BOLTS-SCREWS-WASHERS"", ""price"": 0.79}, {""name"": ""LOOSE FASTENER ITEMS NUTS-BOLTS-SCREWS-WASHERS"", ""price"": 1.38}]",2.17,0.17,2.34,,Other,needs_review,receipts/2026/07/2026-07-23T16-38-33-952Z-a9bb438b.jpg,expenses/thumbs/2026-07-23T16-38-33-952Z-a9bb438b.jpg,2026-07-23T16:38:33.952Z,2026-07-23T16:43:21.990467+00:00
